NUMERO_ED;École doctorale;Sigle de l'ED;ANNEE;ANNEE_UNIVERSITAIRE;RENTREE;TOTAL_PREMIERS_INSCRITS;TOTAL_DIP_FR;MASTER;INGENIEUR;EC_COM;DIP_FR_AUTRE;TOTAL_DIP_ETRANGER;DIP_EUROPE_UE;DIP_EUROPE_HORS_UE;DIP_ASIE;DIP_AFRIQUE;DIP_AMERIQUES;DIP_AUSTRALIE_OCEANIE;DIP_ETR_AUTRE_NR;id_paysage_ED
159;École doctorale Esthétique, sciences et technologies des arts;EDESTA;2020;2019-20;2019;36;36;32;0;0;4;0;0;0;0;0;0;0;0;zj1Vj
245;École doctorale Sciences économiques, juridiques, politiques et de gestion;;2020;2019-20;2019;39;33;28;0;2;3;6;3;0;0;3;0;0;0;ShLUg
352;École doctorale Physique et sciences de la matière;;2020;2019-20;2019;68;45;31;14;0;0;23;11;1;7;0;3;1;0;fb5YC
372;École doctorale Sciences économiques et de gestion;;2020;2019-20;2019;34;28;27;0;0;1;6;3;0;3;0;0;0;0;JK63A
434;École doctorale Géographie de Paris - Espaces, sociétés, aménagement;EDGP;2020;2019-20;2019;46;41;40;0;0;1;5;0;2;2;1;0;0;0;1FmLX
441;École doctorale Histoire de l'art;;2020;2019-20;2019;35;30;27;0;0;3;5;2;1;1;0;1;0;0;d5W3U
461;École doctorale Droit et science politique;;2020;2019-20;2019;62;53;52;0;0;1;9;1;0;3;4;1;0;0;QGArN
469;École doctorale du Pacifique;EDP;2020;2019-20;2019;23;20;19;1;0;0;3;1;0;1;1;0;0;0;t9Z2n
531;École doctorale Sciences, ingénierie et environnement;SIE;2020;2019-20;2019;77;59;36;20;0;3;18;3;0;10;3;2;0;0;b5BYq
594;École doctorale Sociétés, Espaces, Pratiques, Temps;ED SEPT;2020;2019-20;2019;62;60;56;0;0;4;2;0;0;1;0;1;0;0;N85H3
608;École doctorale Sciences et Ingénierie des Molécules, des Produits, des Procédés et de l'Énergie;SIMPPÉ;2020;2019-20;2019;66;43;26;17;0;0;23;3;0;10;5;5;0;0;TyNjM
71;École doctorale Sciences pour l'ingénieur;;2019;2018-19;2018;52;37;18;19;0;0;15;0;0;11;4;0;0;0;H6UYp
84;École doctorale Sciences et technologies de l'information et de la communication;STIC;2019;2018-19;2018;53;41;29;12;0;0;12;3;1;2;2;4;0;0;9wS2W
184;École doctorale Mathématiques et informatique de Marseille;;2019;2018-19;2018;28;25;22;3;0;0;3;1;0;2;0;0;0;0;DDObG
218;École doctorale Chimie et sciences du vivant;EDCSV;2019;2018-19;2018;94;70;58;12;0;0;24;11;0;8;2;3;0;0;8bcJh
341;École doctorale Évolution, écosystèmes, microbiologie, modélisation;E2M2;2019;2018-19;2018;37;35;32;3;0;0;2;0;0;1;0;1;0;0;J83I0
353;École doctorale Sciences pour l'ingénieur : mécanique, physique, micro et nanoélectronique;;2019;2018-19;2018;43;36;21;15;0;0;7;4;0;1;0;2;0;0;vk5Kp
409;École doctorale Énergie, mécanique, matériaux;EMMA;2019;2018-19;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;KXlbK
455;École doctorale Économie, Gestion, Information et Communication;EGIC;2019;2018-19;2018;28;25;21;0;1;3;3;1;0;0;2;0;0;0;qCOg3
479;École doctorale Sciences juridiques et politiques;;2019;2018-19;2018;36;34;34;0;0;0;2;0;0;1;1;0;0;0;34mid
567;École doctorale Sciences du Végétal : du gène à l'écosystème;;2019;2018-19;2018;27;19;16;3;0;0;8;3;1;2;2;0;0;0;tuDkA
586;École doctorale Sciences Humaines et Sociales;EDSHS;2019;2018-19;2018;64;53;53;0;0;0;11;1;1;3;5;1;0;0;0RKVX
8;École doctorale Histoire du droit, philosophie du droit et sociologie du droit;;2018;2017-18;2017;11;10;7;0;0;3;1;0;0;0;0;1;0;0;pGSed
58;École doctorale Langues, littératures, cultures, civilisations;LLCC;2018;2017-18;2017;99;79;77;0;0;2;20;6;1;5;6;2;0;0;I9ATR
62;École doctorale Sciences de la vie et de la santé;;2018;2017-18;2017;183;132;116;8;0;8;51;14;1;16;12;8;0;0;vZzE7
72;École doctorale Sciences pour l'ingénieur;SPI;2018;2017-18;2017;226;139;121;16;0;2;87;10;8;41;22;6;0;0;47QPx
85;École doctorale Sciences de la vie et de la santé;SVS;2018;2017-18;2017;44;33;32;1;0;0;11;6;0;2;0;3;0;0;YdiMF
105;École doctorale Terre, univers, environnement;;2018;2017-18;2017;40;24;18;6;0;0;16;6;2;3;0;5;0;0;lcWAf
206;École doctorale Chimie : chimie, procédés, environnement;;2018;2017-18;2017;86;64;44;20;0;0;22;5;1;13;1;2;0;0;m0UhD
217;École doctorale Mathématiques, sciences et technologies de l'information, informatique;MSTII;2018;2017-18;2017;84;66;33;32;0;1;18;5;4;3;2;4;0;0;Ehx7v
409;École doctorale Énergie, mécanique, matériaux;EMMA;2018;2017-18;2017;71;47;32;15;0;0;24;3;1;12;5;3;0;0;KXlbK
