geo_unit,year,inbound_total,outbound_mobility_ratio,inbound_mobility_rate,outbound_total
CHL,2022,17721,1.596109986305237,1.371510028839111,20623
CHL,2023,19891,1.543759942054749,1.495309948921204,20535
CHL,2024,22235,NA,1.619510054588318,NA
CHN,2022,210903,1.848270058631897,0.3691098156962372,1056071
CHN,2023,200892,1.810960054397583,0.3381058990855579,1076015
CHN,2024,194327,NA,0.3203051426227105,NA
CIV,2022,4144,6.537700176239014,1.412059753571039,19186
CIV,2023,4298,5.900400161743164,1.357952139927837,18675
CIV,2024,7493,NA,2.160700082778931,NA
CMR,2022,8499,7.947100162506104,2.05345407453224,32892
CMR,2023,7392,8.0972900390625,1.773231685961436,33755
COK,2023,0,1724.110229492188,0,241
COK,2024,2,NA,1.769911504424779,NA
COL,2022,5448,2.509099960327148,0.2208999991416931,61880
CUB,2023,6513,1.501060009002686,1.989334017520068,4914
CUB,2024,6118,NA,2.245005804796782,NA
CYP,2022,10731,48.26351928710938,20.24869918823242,25578
CYP,2023,11795,44.47259902954102,22.28162002563477,23542
CYP,2024,12730,NA,21.64670944213867,NA
CZE,2022,53369,3.54367995262146,15.79189014434814,11976
CZE,2023,56276,3.28538990020752,16.62236022949219,11123
DEU,2022,403473,3.753089904785156,11.99833965301514,126207
DEU,2023,423197,3.84539008140564,12.68531036376953,128287
DEU,2024,438260,NA,13.39389991760254,NA
DNK,2022,31375,1.936349987983704,10.13483047485352,5994
DNK,2023,29674,2.006040096282959,9.94614028930664,5985
DNK,2024,28751,NA,9.883399963378906,NA
DOM,2022,54701,1.002189993858337,10.69260210564176,5127
DOM,2023,10265,1.038190007209778,1.903389758224072,5599
DOM,2024,10238,NA,1.920832723574948,NA
DZA,2022,7724,2.323750019073486,0.5024600028991699,35721
DZA,2023,3618,2.335969924926758,0.2206433907607867,38304
DZA,2024,5746,NA,0.3463655428372679,NA
ECU,2022,6735,3.293720006942749,0.699292712404321,31722
ECU,2023,7398,3.345890045166016,0.6768502219571016,36571
EGY,2022,69828,1.910750031471252,1.630755650324718,67126
EGY,2023,86848,1.836269974708557,1.587603775894471,68024
EGY,2024,125128,NA,2.39508523525954,NA
ESP,2022,91692,2.200079917907715,3.970599889755249,50806
ESP,2023,102162,2.13988995552063,4.307260036468506,50755
ESP,2024,113649,NA,4.649580001831055,NA
EST,2022,5062,7.951980113983154,11.42164993286133,3524
EST,2023,4869,7.39516019821167,11.10336017608643,3243
EST,2024,4336,NA,9.770910263061523,NA
FIN,2022,26774,2.963920116424561,8.483420372009277,9354
FIN,2023,30346,2.6109299659729,9.261059761047363,8555
FIN,2024,35715,NA,10.5413703918457,NA
FRA,2022,263458.625,3.935369968414307,9.137040138244627,113473
FRA,2023,276217.21875,4.031529903411865,9.68276023864746,115006
FRA,2024,284865,NA,9.893850326538086,NA
GBR,2022,674931,1.32342004776001,21.57226943969727,41406
GBR,2023,748461,1.279279947280884,23.40687942504883,40906
GEO,2022,17527,5.425290107727051,10.72118913628579,8869
GEO,2023,25105,5.555729866027832,15.22797993461158,9159
GEO,2025,37161,NA,19.47417068481445,NA
GHA,2022,5416,3.518450021743774,0.8529147289995733,22342
GHA,2023,4765,3.394089937210083,0.6783333357059578,23842
GHA,2024,5150,NA,0.7426499724388123,NA
GIN,2022,1181,NA,NA,8773
GIN,2023,1327,NA,NA,10493
GRC,2022,26785,4.406129837036133,3.068759918212891,38458
GRC,2023,26327,4.314219951629639,3.01609992980957,37658
GTM,2023,2192,0.7797600030899048,0.4342606276967941,3936
HKG,2022,53948,13.14373016357422,19.03713349071751,37247
HKG,2023,63688,14.4076099395752,22.43301409284157,40904
HKG,2024,73833,NA,25.32186927683159,NA
HND,2024,11924,NA,4.813769817352295,NA
HRV,2022,5735,6.231210231781006,3.560209989547729,10038
HRV,2023,5929,6.069399833679199,3.734709978103638,9635
HUN,2022,40290,4.717219829559326,13.72434043884277,13848
HUN,2023,41730,4.665299892425537,14.39009952545166,13529
HUN,2024,43137,NA,13.89659976959229,NA
IND,2022,46659,1.555009961128235,0.1150664098587146,630549
IND,2023,45700,1.949100017547607,0.1068245082537127,833835
IRL,2022,27159,6.857590198516846,10.98526954650879,16954
IRN,2022,130591,2.586669921875,3.907310009002686,86429
