indicatorId,geoUnit,year,type,subtype,value
MOR.5T8.40510,BDI,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEL,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BEN,2002,Source,Data sources,UIS Education Survey
